"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Seltene","Seltene","","","",0,*,"","","","null {[]} {[]}
","MII LM SE","MII LogicalModel Modul Seltene Erkraknungen","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.PersoenlicheInfosIndexpatient.Tod.modifierExtension","Seltene.PersoenlicheInfosIndexpatient.Tod.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.PersoenlicheInfosIndexpatient.Tod.Sterbedatum","Seltene.PersoenlicheInfosIndexpatient.Tod.Sterbedatum","","","",0,1,"","","","date {[]} {[]}
","Sterbedatum","Sterbedatum des Indexpatienten.","","","","","","","","","",,,,,"",,,,"Seltene.PersoenlicheInfosIndexpatient.Tod.Sterbedatum",0,1,"",""
"Seltene.PersoenlicheInfosIndexpatient.Tod.AnSEVerstorben","Seltene.PersoenlicheInfosIndexpatient.Tod.AnSEVerstorben","","","",0,1,"","","","code {[]} {[]}
","An der SE verstorben","Angabe, ob der Indexpatient an der SE verstorben ist.","","","","","","","","","",,,,,"",,,,"Seltene.PersoenlicheInfosIndexpatient.Tod.AnSEVerstorben",0,1,"",""
"Seltene.PersoenlicheInfosIndexpatient.Tod.AndereTodesursache","Seltene.PersoenlicheInfosIndexpatient.Tod.AndereTodesursache","","","",0,*,"","","","code {[]} {[]}
","Todesursache","Kodierung der Todesursache soweit bekannt (ICD-10-GM, ORPHAcodes).","","","","","","","","","",,,,,"",,,,"Seltene.PersoenlicheInfosIndexpatient.Tod.AndereTodesursache",0,*,"",""
"Seltene.Familienanamnese","Seltene.Familienanamnese","","","",0,*,"","","","BackboneElement {[]} {[]}
","Familienanamnese","Familienanamnese","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.Familienanamnese.id","Seltene.Familienanamnese.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.Familienanamnese.extension","Seltene.Familienanamnese.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.Familienanamnese.modifierExtension","Seltene.Familienanamnese.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.Familienanamnese.Verwandtschaftsverhaeltnis","Seltene.Familienanamnese.Verwandtschaftsverhaeltnis","","","",0,1,"","","","code {[]} {[]}
","Verwandtschaftsverhaeltnis","Biologisches Verwandtschaftsverhaeltnis des Familienmitglieds zum Indexpatienten.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.Verwandtschaftsverhaeltnis",0,1,"",""
"Seltene.Familienanamnese.Geschlecht","Seltene.Familienanamnese.Geschlecht","","","",0,1,"","","","code {[]} {[]}
","Geschlecht","Geschlecht des Familienmitglieds.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.Geschlecht",0,1,"",""
"Seltene.Familienanamnese.GleicheSE","Seltene.Familienanamnese.GleicheSE","","","",0,*,"","","","code {[]} {[]}
","Gleiche SE","Gibt an, ob das Familienmitglied an der gleichen SE leidet wie der Indexpatient.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.GleicheSE",0,*,"",""
"Seltene.Familienanamnese.AndereSE","Seltene.Familienanamnese.AndereSE","","","",0,*,"","","","code {[]} {[]}
","Andere SE","Gibt an, ob das Familienmitglied an einer anderen SE leidet als der Indexpatient.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.AndereSE",0,*,"",""
"Seltene.Familienanamnese.Penetranz","Seltene.Familienanamnese.Penetranz","","","",0,1,"","","","code {[]} {[]}
","Penetranz","Gibt an, ob bei fehlender klinscher Penetranz (Wahrscheinlichkeit Genotyp bildet Phaenotyp aus) die genetische Diagnose vorliegt.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.Penetranz",0,1,"",""
"Seltene.Familienanamnese.FamilienmitgliedVerstorben","Seltene.Familienanamnese.FamilienmitgliedVerstorben","","","",0,1,"","","","code {[]} {[]}
","Familienmitglied verstorben","Gibt an, ob das Familienmitglied verstorben ist.","","","","","","","","","",,,,,"",,,,"Seltene.Familienanamnese.FamilienmitgliedVerstorben",0,1,"",""
"Seltene.TherapieForschung","Seltene.TherapieForschung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Therapie und Forschung","Therapie und Forschung","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.TherapieForschung.id","Seltene.TherapieForschung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.TherapieForschung.extension","Seltene.TherapieForschung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.modifierExtension","Seltene.TherapieForschung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.OffLabel","Seltene.TherapieForschung.OffLabel","","","",0,*,"","","","BackboneElement {[]} {[]}
","Off-Label-Gabe","Off-Label-Gabe","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.OffLabel",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.TherapieForschung.OffLabel.id","Seltene.TherapieForschung.OffLabel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.TherapieForschung.OffLabel.extension","Seltene.TherapieForschung.OffLabel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.OffLabel.modifierExtension","Seltene.TherapieForschung.OffLabel.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.OffLabel.OffLabelGabe","Seltene.TherapieForschung.OffLabel.OffLabelGabe","","","",0,1,"","","","code {[]} {[]}
","Off-Label-Gabe","Gibt an, ob eine Off-Label-Gabe vorliegt.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.OffLabel.OffLabelGabe",0,1,"",""
"Seltene.TherapieForschung.OffLabel.OffLabelMedikament","Seltene.TherapieForschung.OffLabel.OffLabelMedikament","","","",0,*,"","","","code {[]} {[]}
","Off-Label-Medikament","Gibt an, welches Medikament Off-Label gegeben wurde.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.OffLabel.OffLabelMedikament",0,*,"",""
"Seltene.TherapieForschung.Studie","Seltene.TherapieForschung.Studie","","","",0,*,"","","","BackboneElement {[]} {[]}
","Studie","Studie","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Studie",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.TherapieForschung.Studie.id","Seltene.TherapieForschung.Studie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.TherapieForschung.Studie.extension","Seltene.TherapieForschung.Studie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.Studie.modifierExtension","Seltene.TherapieForschung.Studie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.Studie.StudienID","Seltene.TherapieForschung.Studie.StudienID","","","",0,1,"","","","Identifier {[]} {[]}
","Studien-ID","Eindeutige Identifikation der Studie, an der der SE-Patient teilgenommen hat.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Studie.StudienID",0,1,"",""
"Seltene.TherapieForschung.Studie.StudienStatus","Seltene.TherapieForschung.Studie.StudienStatus","","","",0,1,"","","","code {[]} {[]}
","Studienstatus","Aktueller Status der Studie, an der der SE-Patient teilgenommen hat (Abgeschlossen, Fortlaufend).","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Studie.StudienStatus",0,1,"",""
"Seltene.TherapieForschung.Studie.Studienzeitraum","Seltene.TherapieForschung.Studie.Studienzeitraum","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/organization-period]]} {[]}
","Studienzeitraum","Zeitraum, in dem der SE-Patient an der Studie teilgenommen hat.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Studie.Studienzeitraum",0,1,"",""
"Seltene.TherapieForschung.Therapie","Seltene.TherapieForschung.Therapie","","","",0,*,"","","","BackboneElement {[]} {[]}
","Therapie","Therapie","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.TherapieForschung.Therapie.id","Seltene.TherapieForschung.Therapie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.TherapieForschung.Therapie.extension","Seltene.TherapieForschung.Therapie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.Therapie.modifierExtension","Seltene.TherapieForschung.Therapie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.TherapieForschung.Therapie.Therapieempfehlung","Seltene.TherapieForschung.Therapie.Therapieempfehlung","","","",0,*,"","","","code {[]} {[]}
","Eine Therapieempfehlung beschreibt eine spezifische Maßnahme oder Strategie. Sie kann eigenständig vorliegen oder referenziert einem Therapieplan zugeordnet werden. Art der Therapieempfehlung","Gibt an, welche Therapieempfehlung vorliegt.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie.Therapieempfehlung",0,*,"",""
"Seltene.TherapieForschung.Therapie.DurchgefuehrteTherapie","Seltene.TherapieForschung.Therapie.DurchgefuehrteTherapie","","","",0,*,"","","","code {[]} {[]}
","Durchgefuehrte Therapie","Tatsaechlich durchgeführte Therapie des SE-Patienten (mit oder ohne Studie mit heilender Intention).","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie.DurchgefuehrteTherapie",0,*,"",""
"Seltene.TherapieForschung.Therapie.StartdatumTherapie","Seltene.TherapieForschung.Therapie.StartdatumTherapie","","","",0,1,"","","","date {[]} {[]}
","Startdatum Therapie","Datum, an dem die Therapie begonnen hat.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie.StartdatumTherapie",0,1,"",""
"Seltene.TherapieForschung.Therapie.EnddatumTherapie","Seltene.TherapieForschung.Therapie.EnddatumTherapie","","","",0,1,"","","","date {[]} {[]}
","Enddatum Therapie","Datum, an dem die Therapie beendet wurde.","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie.EnddatumTherapie",0,1,"",""
"Seltene.TherapieForschung.Therapie.GrundEndeTherapie","Seltene.TherapieForschung.Therapie.GrundEndeTherapie","","","",0,*,"","","","code {[]} {[]}
","Grund Ende Therapie","Gibt an, warum die Therapie beendet wurde (z.B. Nebenwirkungen, keine Wirkung).","","","","","","","","","",,,,,"",,,,"Seltene.TherapieForschung.Therapie.GrundEndeTherapie",0,*,"",""
